Time,AccX,AccY,AccZ
455,2564,-772,16924
456,2980,-1348,15456
457,3512,-1552,14620
458,3512,-1552,14620
459,3888,-1944,14760
460,3380,-1772,16428
461,2120,-760,18584
462,728,-80,20516
463,-220,836,21624
464,-328,2124,20924
465,692,1940,18520
466,1912,1652,16016
467,2532,1964,15484
468,1844,24,18728
469,1844,24,18728
470,2292,-1768,18436
471,3204,-2320,15908
472,4132,-1944,12960
473,4756,-2108,12784
474,3784,-1956,16164
475,1760,-1068,19984
476,116,-180,21992
477,-872,1840,22404
478,-584,3000,20276
479,744,2416,16920
480,744,2416,16920
481,2108,3032,14596
482,1788,1920,16588
483,2164,-744,20412
484,2016,-3928,19964
485,3828,-3684,13588
486,5384,-2316,10432
487,5136,-1984,12800
488,3012,-2128,19060
489,432,-1112,22712
490,-764,1616,22940
491,-764,1616,22940
492,-660,3348,21252
493,468,3188,17504
494,1396,4000,14312
495,1128,3440,15264
496,2272,768,19840
497,1964,-4812,23316
498,3332,-5768,15252
499,5088,-3576,8932
500,5792,-2364,9948
501,3896,-2328,18340
502,3896,-2328,18340
503,748,-1136,24056
504,-656,1824,23328
505,-284,3720,20224
506,584,4588,16232
507,724,4668,13756
508,552,4208,15456
509,1496,352,22324
510,2568,-5864,23764
511,3352,-6168,14112
512,5104,-2896,8656
513,5104,-2896,8656
514,5588,-1836,11068
515,3380,-1836,19044
516,840,-172,22796
517,-184,1476,21628
518,-176,2444,20140
519,224,3968,17576
520,492,3936,15680
521,1088,2332,16956
522,2128,-296,20596
523,2720,-3320,19788
524,2720,-3320,19788
525,3544,-3540,14428
526,4564,-2220,11236
527,4808,-1712,12288
528,3668,-1600,16988
529,1216,-1032,21064
530,-140,72,21544
531,-632,1744,21172
532,-96,2680,19608
533,912,2784,17188
534,2044,2140,16436
535,2044,2140,16436
536,1936,-28,18504
537,2384,-752,18548
538,2892,-1132,16508
539,3852,-1360,13908
540,3916,-1652,13684
541,3468,-1516,15316
542,2532,-1152,17936
543,1604,-332,19112
544,800,56,19764
545,800,56,19764
546,208,412,20524
547,52,1296,20280
548,708,1380,18936
549,1860,752,17564
550,2604,456,16596
551,2736,-152,16364
552,2644,-668,16688
553,2868,-292,16064
554,2672,-372,16184
555,2528,-724,16492
556,2528,-724,16492
557,2156,-948,17304
558,2092,-676,17636
559,1856,-380,17932
560,1648,-212,18196
561,1572,-96,18424
562,1488,24,18308
563,1448,64,18332
564,1624,416,18312
565,1748,496,17804
566,1924,200,17156
567,1924,200,17156
568,2340,52,16976
569,2288,-104,17080
570,2004,-184,17200
571,1952,-44,17396
572,1976,0,17416
573,1936,-76,17452
574,2088,-328,17244
575,2272,-480,17188
576,2216,-444,17204
577,2048,-348,17344
578,2048,-348,17344
579,2032,-376,17592
580,2084,-272,17620
581,1892,-188,17944
582,1700,-40,18184
583,1616,-28,18232
584,1544,152,18128
585,1856,200,17812
586,1952,84,17608
587,2044,-72,17720
588,2128,-68,17424
589,2128,-68,17424
590,2040,-176,17456
591,2084,-80,17444
592,2084,-136,17400
593,2044,-120,17560
594,1980,-72,17548
595,1996,-120,17604
596,2100,-48,17448
597,2088,-184,17400
598,2116,-280,17396
599,2120,-328,17488
600,2120,-328,17488
601,1988,-236,17484
602,1960,-196,17664
603,2028,-160,17620
604,1908,-224,17724
605,1972,-100,17796
606,1988,-112,17860
607,2016,-88,17756
608,1904,-132,17676
609,1900,-16,17768
610,1844,-52,17724
611,1844,-52,17724
612,1848,-80,17632
613,1960,-8,17380
614,2012,-156,17328
615,1984,-212,17636
616,2040,-44,17552
617,1944,4,17580
618,1888,-44,17824
619,1968,-116,17636
620,2028,-100,17560
621,2088,-168,17552
622,2088,-168,17552
623,2028,-248,17536
624,2040,-84,17480
625,2116,-192,17444
626,2056,-208,17448
627,2012,-216,17548
628,1972,-208,17552
629,1952,-324,17576
630,2096,-272,17640
631,2068,-232,17708
632,1908,-132,17860
633,1908,-132,17860
634,1904,-56,17896
635,1908,60,17856
636,1792,-100,17940
637,1788,-36,18132
638,1768,-12,17884
639,1880,84,17640
640,2004,-40,17516
641,2068,-92,17440
642,2064,-72,17648
643,2000,40,17648
644,2000,40,17648
645,1956,36,17436
646,2024,32,17384
647,2132,-120,17244
648,2132,-44,17344
